ID,ID,naam,omschrijving,kleur,maat,leeftijd,categorie,afbeeldingproduct,productactief,toegevoegdop,toegevoegdop
11463,11463,DVD s,4 dvd s,,,Volwassen,38,/winkel/foto/DVD_s_248619893.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11464,11464,DVD s,4 dvd s,,,Volwassen,38,/winkel/foto/DVD_s_2016122587.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11466,11466,DVD s,3 dvd s,,,,38,/winkel/foto/DVD_s_836783712.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11467,11467,DVD s,Dik trom grote vriendelijke reus en missing link,,,,33,/winkel/foto/DVD_s_1994019339.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11472,11472,Gympen,Basketballs hoge gympen,Rood,38,,37,/winkel/foto/Gympen_91064082.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11474,11474,Pakje,Fluweelstof gevoerd katoen pakje,Oranje divers,62-68,,34,/winkel/foto/Pakje_22736945.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11477,11477,Zomerjasje,Met rits en capuchon,Appelgroen ,80,,36,/winkel/foto/Zomerjasje_1817660475.jpg,1,2017-12-07 20:01:04,2017-12-07 20:01:04
11482,11482,Tuinbroekje,Met geruiten voering,Spijkerstof,62,,15,/winkel/foto/Tuinbroekje_895927743.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11494,11494,Setje meisje,Leuk apart setje. fleecestof. Nieuw,Divers,62-68,,16,/winkel/foto/Setje_meisje_1251387676.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11499,11499,Zwembroek,Met binnenbroek,Groen,Ca 134- 140,,15,/winkel/foto/Zwembroek_1959166684.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11505,11505,16,Broeken shirts jurkje,Divers,116,,16,/winkel/foto/16_2067944497.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
11509,11509,Knuffel,Schaap. Met ophanglus,Wit divers,,,33,/winkel/foto/Knuffel_239842968.jpg,0,2017-05-19 10:49:37,2017-05-19 10:49:37
11519,11519,Spijkerjasje,Spijkerjasje,Lichtblauw,10 jaar,Ca 10 jaar,36,/winkel/foto/Spijkerjasje_863762185.jpg,0,2017-12-07 20:01:04,2017-12-07 20:01:04
